📚 Sistemas de Prompts Consolidados,Unnamed: 1,Unnamed: 2
,,
,> Colección completa de todos los sistemas de prompts creados para diferentes casos de uso en marketing y creación de contenido.,
,,
,Versión: 1.0 | Estado: Activo | Última actualización: Mayo 2025,
,,
,"Este documento contiene todos los sistemas de prompts desarrollados, cada uno optimizado para un propósito específico y siguiendo la misma estructura profesional.",
,,
,,
,────────────────────────────────────────────────────────────────────────────────────────────────────,
,,
,,
,📋 Índice de Sistemas,
,,
,,• 📚 Sistemas de Prompts Consolidados
,,  • 📋 Índice de Sistemas
,,• 🔍 Sistema Perplexity (Búsqueda y Respuestas)
,,• 🎬 Sistema de Creación de Videos UGC
,,• ✍️ Sistema de Creación de Contenido
,,• 📅 Sistema de Calendario de Contenido de Redes Sociales
,,• 🎨 Sistema de Diseño Gráfico y Visual
,,• 💼 Sistema de Ventas y Cierre
,,  • 📝 Instrucciones Adicionales para Cursor - Variante 1: Corporativo y Ejecutivo
,,  • 📝 Notas de Uso
,,
,────────────────────────────────────────────────────────────────────────────────────────────────────,
