SISTEMA DE CALENDARIO DE CONTENIDO,Unnamed: 1,Unnamed: 2
DE REDES SOCIALES,,
,,
Sistema de Prompt para Inteligencia Artificial,,
,,
Versión:,1.0,
Fecha:,November 2025,
Categoría:,Marketing Digital - Planificación de Contenido,
,,
ÍNDICE DE HOJAS,,
Hoja,Contenido,Descripción
00_Portada,Portada e Índice,Información general del documento
01_Información,Información General,Metadatos y versión del sistema
02_Objetivo,Objetivo del Sistema,Descripción del rol y propósito
03_Reglas_Formato,Reglas de Formato,Instrucciones de formato detalladas
04_Restricciones,Restricciones,Lista completa de restricciones
05_Tipos_Consulta,Tipos de Consulta,Tipos de calendarios soportados
06_Planificación,Reglas de Planificación,Proceso de planificación estratégica
07_Especificaciones,Especificaciones de Salida,Requisitos de estructura y calidad
08_Checklist,Checklist de Calidad,Lista de verificación antes de entregar
09_Plataformas,Estrategias por Plataforma,Recomendaciones específicas por plataforma
10_Contenido,Tipos de Contenido,Variedad y balance de contenido
11_Métricas,Métricas y KPIs,Indicadores de rendimiento
