INFORMACIÓN GENERAL DEL SISTEMA,Unnamed: 1,Unnamed: 2
,,
Campo,Valor,Descripción
Versión,1.0,Versión actual del sistema de prompt
Fecha de Creación,November 2025,Fecha de última actualización
Tipo de Sistema,Sistema de Prompt para IA,Tipo de documento
Categoría,Marketing Digital,Área de aplicación
Subcategoría,Planificación de Contenido,Especialización
Plataformas Soportadas,"Instagram, Facebook, Twitter/X, LinkedIn, TikTok, YouTube, Pinterest",Redes sociales cubiertas
Idioma Principal,Español/Inglés,Idiomas de trabajo
Formato de Salida,Markdown con tablas,Formato requerido para calendarios
