DASHBOARD DE MÉTRICAS - CALENDARIO DE CONTENIDO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Última actualización: 22/11/2025 02:03,,,,,
,,,,,
RESUMEN EJECUTIVO,,,,,
Métrica,Valor,Objetivo,Estado,,
Posts Programados,45,50,,,
Plataformas Activas,4,4,,,
Engagement Rate,5.2%,5.0%,,,
Alcance Total,12500,10000,,,
Conversiones,85,80,,,
,,,,,
MÉTRICAS POR PLATAFORMA,,,,,
Plataforma,Posts,Engagement,Alcance,Conversiones,ROI
Instagram,20,6.2%,8500,45,320%
Facebook,15,4.8%,12000,25,280%
LinkedIn,8,5.5%,3500,12,350%
Twitter/X,12,3.2%,2800,3,150%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ANÁLISIS DE CONTENIDO,,,,,
Tipo de Contenido,Cantidad,Engagement Promedio,Mejor Performador,,
Educativo,15,6.5%,Guía de sostenibilidad,,
Entretenimiento,12,5.2%,Behind-the-scenes,,
Promocional,10,4.1%,Oferta verano,,
Comunidad,8,7.8%,UGC campaign,,
