SISTEMA DE VALIDACIÓN DE CALENDARIOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
CHECKLIST DE VALIDACIÓN,,,,
Categoría,Item,Estado,Notas,Puntos
Estructura,Introducción presente,,,5
Estructura,Tabla formateada correctamente,,,10
Estructura,Resumen presente,,,5
Contenido,Completitud (todos los días),,,10
Contenido,"Calidad (específico, no genérico)",,,10
Contenido,Balance (80/20 o especificado),,,10
Datos,Fechas correctas,,,5
Datos,Horarios correctos,,,5
Datos,Plataformas correctas,,,5
Datos,Datos completos,,,5
Estrategia,Alineación con objetivos,,,7
Estrategia,Alineación con audiencia,,,7
Estrategia,Alineación con marca,,,6
Optimización,Frecuencia apropiada,,,3
Optimización,Timing optimizado,,,4
Optimización,Repurposing identificado,,,3
,,,,
SCORE TOTAL:,,,,
,,,,
CALIFICACIÓN:,,,,
,,,,
PROBLEMAS IDENTIFICADOS,,,,
#,Problema,Severidad,Acción Requerida,Estado
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
