APÉNDICES Y DATOS DE REFERENCIA,Unnamed: 1
,
GLOSARIO DE TÉRMINOS,
Término,Definición
Brief,Documento que especifica los requisitos del contenido
Brand Guidelines,"Pautas que definen voz, tono y estilo de marca"
Query Type,Categoría del tipo de contenido solicitado
Content Piece,Pieza final de contenido generada
Citation,Referencia a fuente de información
LaTeX,Sistema de composición tipográfica para fórmulas
CTA,Call to Action - Llamado a la acción
SEO,Search Engine Optimization - Optimización para motores de búsqueda
,
REFERENCIAS CRUZADAS,
Referencia,Descripción
Sección 2.1,Reglas de formato de inicio
Sección 3.1,Restricciones de lenguaje
Sección 4.1-4.10,Especificaciones por tipo de consulta
Sección 5.1,Proceso de planificación
Sección 6.1,Requisitos de calidad
Sección 8.1,Arquitectura de procesamiento
