CALENDARIO DE PRODUCCIÓN DE CONTENIDO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Fecha,Día,Tipo,Tema,Plataforma,Estado,Responsable,Notas
2025-05-13 00:00:00,Lunes,Blog Article,Mejores Prácticas IA,Website,Planificado,Equipo A,
2025-05-14 00:00:00,Martes,Social Media,Product Launch,Instagram,En Proceso,Equipo B,
2025-05-15 00:00:00,Miércoles,Email Marketing,Newsletter Semanal,Email,Completado,Equipo A,Enviado
2025-05-16 00:00:00,Jueves,Landing Page,Nuevo Servicio,Website,Planificado,Equipo C,
2025-05-17 00:00:00,Viernes,Social Media,Testimonial,LinkedIn,Completado,Equipo B,Publicado
2025-05-20 00:00:00,Lunes,Blog Article,Tendencias Marketing,Website,Planificado,Equipo A,
2025-05-21 00:00:00,Martes,Copywriting,Campaign Copy,Múltiples,En Proceso,Equipo C,
2025-05-22 00:00:00,Miércoles,SEO Content,Guía Completa,Website,Planificado,Equipo A,
2025-05-23 00:00:00,Jueves,Social Media,Behind Scenes,Instagram,Planificado,Equipo B,
2025-05-24 00:00:00,Viernes,Email Marketing,Promoción,Email,Planificado,Equipo A,
,,,,,,,
,,,,,,,
RESUMEN POR ESTADO,,,,,,,
Estado,Cantidad,,,,,,
Planificado,,,,,,,
En Proceso,,,,,,,
Completado,,,,,,,
