MÉTRICAS DE MACHINE LEARNING Y OPTIMIZACIÓN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Métrica,Valor Actual,Valor Objetivo,Mejora %,Estado,Última Actualización,Tendencia
Precisión (Accuracy),0.94,0.9,,,2025-05-13,↑
Precisión (Precision),0.91,0.88,,,2025-05-13,↑
Recall (Sensibilidad),0.89,0.85,,,2025-05-13,↑
F1-Score,0.9,0.86,,,2025-05-13,↑
AUC-ROC,0.93,0.9,,,2025-05-13,↑
Tasa de Falsos Positivos,0.05,0.1,,,2025-05-13,↓
Tiempo de Entrenamiento (min),45,60,,,2025-05-13,↓
,,,,,,
MATRIZ DE CONFUSIÓN,,,,,,
,Predicho: Positivo,Predicho: Negativo,,,,
Real: Positivo,850,50,,,,
Real: Negativo,45,55,,,,
,,,,,,
CÁLCULOS DESDE MATRIZ,,,,,,
Verdaderos Positivos (TP):,,,,,,
Falsos Positivos (FP):,,,,,,
Falsos Negativos (FN):,,,,,,
Verdaderos Negativos (TN):,,,,,,
Precisión Calculada:,,,,,,
Recall Calculado:,,,,,,
F1-Score Calculado:,,,,,,
