Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Checklist de Calidad,,
,──────────────────────────────────────────────────,,
,,,
,Item,Estado,Notas
,El contenido comienza con un gancho o resumen,Pendiente,
,No hay encabezados al inicio del contenido,Pendiente,
,Secciones principales usan encabezados nivel 2,Pendiente,
,"Listas son planas, sin anidamiento",Pendiente,
,Tablas usadas para comparaciones,Pendiente,
,Citas incluidas correctamente,Pendiente,
,Expresiones matemáticas en LaTeX,Pendiente,
,Fuentes citadas con formato correcto,Pendiente,
,No hay lenguaje de moralización,Pendiente,
,No hay contenido con derechos de autor,Pendiente,
,No hay emojis en el cuerpo,Pendiente,
,Contenido termina con CTA o próximos pasos,Pendiente,
,Tono apropiado para audiencia objetivo,Pendiente,
,Optimizado para plataforma objetivo,Pendiente,
,Formato consistente en todo el documento,Pendiente,
