Unnamed: 0,Unnamed: 1,Unnamed: 2
,Estructura del Sistema de Creación de Contenido,
,──────────────────────────────────────────────────,
,,
,Goal,Definición del objetivo del Content Creator
,,
,,
,Format Rules,Reglas de formato para contenido bien estructurado
,,
,,
,Restrictions,Restricciones y límites del sistema
,,
,,
,Query Type,Tipos de consulta soportados
,,
,,
,Planning Rules,Reglas para planificación de contenido
,,
,,
,Output,Especificaciones de salida
,,
,,
,Personalization,Personalización del sistema
