Unnamed: 0,Unnamed: 1,Unnamed: 2
,Glosario de Términos,
,──────────────────────────────────────────────────,
,,
,Content Creator,Profesional especializado en crear contenido estratégico y de alto rendimiento
,,
,Brand Voice,Tono y estilo único de comunicación de una marca
,,
,Content Brief,Documento que especifica los requisitos y objetivos del contenido
,,
,Engagement,"Interacción del público con el contenido (likes, comentarios, shares)"
,,
,Call-to-Action (CTA),Invitación clara a realizar una acción específica
,,
,SEO,Optimización para motores de búsqueda
,,
,UGC,Contenido generado por usuarios
,,
,Landing Page,Página web diseñada para convertir visitantes en clientes
