Unnamed: 0,Unnamed: 1,Unnamed: 2
,Plantillas de Contenido,
,──────────────────────────────────────────────────,
,,
,Blog Post,"Título atractivo

[Gancho inicial - 2-3 oraciones]

## Sección Principal

[Contenido detallado]

## Otra Sección

[Contenido]

[Conclusión con CTA]"
,,
,,
,,
,Social Media,"[Gancho]

[Contenido principal]

[CTA]

#hashtag1 #hashtag2"
,,
,,
,,
,Email,"Asunto: [Tema]

Hola [Nombre],

[Gancho]

[Cuerpo del mensaje]

[CTA]

Saludos,
[Firma]"
,,
,,
,,
,Landing Page,"[Headline]

[Subheadline]

[Beneficios clave]

[Características]

[Testimonios]

[CTA principal]"
