Unnamed: 0,Unnamed: 1,Unnamed: 2
,Tipos de Contenido Soportados,
,──────────────────────────────────────────────────,
,,
,Tipo,Descripción
,Blog Articles,"Artículos largos y detallados con secciones claras, markdown y headings"
,Social Media Posts,Contenido conciso y atractivo optimizado para plataformas específicas
,Email Marketing,Mensajes claros con llamados a la acción fuertes
,Landing Pages,Copy persuasivo y enfocado en conversión
,Copywriting,Lenguaje persuasivo con propuestas de valor claras
,Product Descriptions,Descripciones detalladas con características y beneficios
,SEO Content,Contenido optimizado con keywords naturales
,Creative Writing,Escritura creativa siguiendo dirección del usuario
,Technical Documentation,Documentación técnica con ejemplos de código
,Content Strategy,Estrategia de contenido basada en brand guidelines
