Tipo de Viaje Temporal,Capacidad,Tiempo %,ROI,Estado,Implementación
VIAJE TEMPORAL,,,,,,
Viaje al Pasado,Analizar historia,20%,200%,✅ Activo,Meditación retrospectiva
Viaje al Futuro,Predecir futuro,30%,300%,✅ Activo,Meditación prospectiva
Viaje Paralelo,Explorar alternativas,40%,400%,🔄 Desarrollo,Meditación paralela
Viaje Cuántico,Superposición temporal,50%,500%,🔄 Desarrollo,Meditación cuántica
Viaje Dimensional,Cambiar dimensiones,60%,600%,🔄 Desarrollo,Meditación dimensional
Viaje Multiversal,Explorar multiversos,70%,700%,🔄 Desarrollo,Meditación multiversal
Viaje Omniversal,Explorar omniversos,80%,800%,🔄 Desarrollo,Meditación omniversal
Viaje Infinito,Explorar infinito,90%,900%,🔄 Desarrollo,Meditación infinita
Viaje Absoluto,Controlar tiempo,100%,1000%,🔄 Desarrollo,Iluminación total
