Categoría,Enero,Febrero,Marzo,Q1 Total,Promedio,Tendencia
ENTRADAS DE EFECTIVO,,,,,,
Salario,50000,50000,50000,=SUM(B2:D2),=E2/3,=E2/3
Bonos,5000,0,10000,=SUM(B3:D3),=E3/3,=E3/3
Ingresos Adicionales,2000,1500,3000,=SUM(B4:D4),=E4/3,=E4/3
TOTAL ENTRADAS,=SUM(B2:B4),=SUM(C2:C4),=SUM(D2:D4),=SUM(E2:E4),=E5/3,
,,,,,,
SALIDAS DE EFECTIVO,,,,,,
Gastos Fijos,30000,30000,30000,=SUM(B7:D7),=E7/3,=E7/3
Gastos Variables,15000,12000,18000,=SUM(B8:D8),=E8/3,=E8/3
Marketing,6000,6000,6000,=SUM(B9:D9),=E9/3,=E9/3
Ahorros,10000,10000,10000,=SUM(B10:D10),=E10/3,=E10/3
TOTAL SALIDAS,=SUM(B7:B10),=SUM(C7:C10),=SUM(D7:D10),=SUM(E7:E10),=E11/3,
,,,,,,
FLUJO NETO,=B5-B11,=C5-C11,=D5-D11,=E5-E11,=E13/3,
,,,,,,
ANÁLISIS,,,,,,
Margen de Seguridad,=B13/B5,=C13/C5,=D13/D5,=E13/E5,=E16/3,
Tasa de Ahorro,=B10/B5,=C10/C5,=D10/D5,=E10/E5,=E17/3,
