Servicio,Categoría,Monto,Fecha Vencimiento,Fecha Pago,Método Pago,Estado,Notas
Renta,Vivienda,15000,2024-01-01,2024-01-01,Transferencia,✅ Pagado,Pago automático
Luz,Servicios,2500,2024-01-15,2024-01-14,Transferencia,✅ Pagado,
Agua,Servicios,800,2024-01-20,2024-01-19,Transferencia,✅ Pagado,
Gas,Servicios,1200,2024-01-25,2024-01-24,Transferencia,✅ Pagado,
Internet,Servicios,800,2024-01-30,2024-01-29,Transferencia,✅ Pagado,
Teléfono,Servicios,600,2024-02-01,2024-01-31,Transferencia,✅ Pagado,
Seguro Auto,Seguros,300,2024-02-15,2024-02-14,Transferencia,✅ Pagado,
Seguro Vida,Seguros,500,2024-02-20,2024-02-19,Transferencia,✅ Pagado,
Seguro Salud,Seguros,800,2024-02-25,2024-02-24,Transferencia,✅ Pagado,
Hipoteca,Vivienda,12000,2024-03-01,2024-02-28,Transferencia,✅ Pagado,
Préstamo Auto,Deudas,4000,2024-03-15,2024-03-14,Transferencia,✅ Pagado,
Tarjeta Visa,Deudas,2500,2024-03-20,2024-03-19,Transferencia,✅ Pagado,
Tarjeta Mastercard,Deudas,1500,2024-03-25,2024-03-24,Transferencia,✅ Pagado,
Gimnasio,Entretenimiento,500,2024-04-01,2024-03-31,Transferencia,✅ Pagado,
Netflix,Entretenimiento,200,2024-04-05,2024-04-04,Tarjeta,✅ Pagado,
Spotify,Entretenimiento,150,2024-04-10,2024-04-09,Tarjeta,✅ Pagado,
,,,,,,
TOTALES,,,,,,
Total Mensual,=SUM(C2:C16),,=COUNTIF(G2:G16,"✅ Pagado"),,=COUNTIF(G2:G16,"❌ Pendiente"),
Promedio por Categoría,,,,,,
Vivienda,=SUMIF(B2:B16,"Vivienda",C2:C16),,=COUNTIF(B2:B16,"Vivienda"),,
Servicios,=SUMIF(B2:B16,"Servicios",C2:C16),,=COUNTIF(B2:B16,"Servicios"),,
Seguros,=SUMIF(B2:B16,"Seguros",C2:C16),,=COUNTIF(B2:B16,"Seguros"),,
Deudas,=SUMIF(B2:B16,"Deudas",C2:C16),,=COUNTIF(B2:B16,"Deudas"),,
Entretenimiento,=SUMIF(B2:B16,"Entretenimiento",C2:C16),,=COUNTIF(B2:B16,"Entretenimiento"),,
